body_id,field_id,westcan_value,sterling_value,upfit_supply_value,mercedes_oem_value,unit,minimum_published_value,maximum_published_value,variance,normalized_planning_value,normalization_rule,evidence_state,material_to_fitment,warning_required,notes
sprinter-144-standard-roof,usable_wall_height,62.625,,66.5,68,in,62.625,68,5.375,62.625,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-standard-roof,overall_rear_width,61.125,,70,70,in,61.125,70,8.875,,unsupported_or_unclear_datum,unresolved,TRUE,"Candidate geometry;Verify before production;Physical fitment review required","Westcan van depth and supplier/OEM maximum width use different lateral datums; preserve both."
sprinter-144-standard-roof,space_between_wheel_wells,,,53,53,in,53,53,0,53,single_source_candidate,candidate,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Matching source values retained as candidate pending physical verification."
sprinter-144-standard-roof,wheel_well_length,36.5,,36,,in,36,36.5,0.5,36.5,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-144-standard-roof,wheel_well_height,12.5,,12,,in,12,12.5,0.5,12.5,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-144-standard-roof,wheel_well_depth,8.5,,9,,in,8.5,9,0.5,9,largest_credible_obstruction,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported obstruction dimension selected."
sprinter-144-standard-roof,driver_side_usable_space,117.125,,116,,in,116,117.125,1.125,116,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-standard-roof,passenger_side_usable_space,65.375,,71,,in,65.375,71,5.625,65.375,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-standard-roof,partition_depth_or_zone,7.5,,9,,in,7.5,9,1.5,9,highest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Partition zone and depth are distinct terms; highest intrusion selected pending physical datum."
sprinter-144-standard-roof,door_opening_width,51.75,,51.5,51,in,51,51.75,0.75,51,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
sprinter-144-standard-roof,door_to_wheel_well_distance,11.875,,16,,in,11.875,16,4.125,16,largest_credible_clearance,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Largest supported clearance envelope selected."
sprinter-144-standard-roof,wheel_well_to_rear_distance,53.5,,,,in,53.5,53.5,0,53.5,single_source_candidate,candidate,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Westcan driver-side datum retained; passenger-side supplier segment is preserved separately as post-wheel-well zone."
sprinter-144-standard-roof,pre_wheel_well_zone,11.875,,16,,in,11.875,16,4.125,11.875,lowest_credible_supported_value,derived_conservative,TRUE,"Candidate geometry;Verify before production;Supplier applicability carried forward;Physical fitment review required","Lowest comparable usable dimension selected."
